arm,step,critic/score/mean,actor/pg_loss,actor/entropy,actor/grad_norm,response_length/mean,response_length/clip_ratio,training/num_turns/mean,timing_s/step,timing_s/gen,timing_s/update_actor,perf/throughput
9B GRPO-32K,35,,,,,,,,,,,
9B GRPO-32K,36,0.8837890625,0.008769102889345959,0.30504027009010315,0.17540008760988712,6758.044921875,0.0078125,,1279.3320718370378,666.7302765240893,463.80659432709217,766.5568397670247
9B GRPO-32K,37,0.9140625,0.00672618554381188,0.326754093170166,0.1225709468126297,6139.3330078125,0.0078125,,829.7448523240164,496.3985486039892,256.49326096940786,1089.0439663096963
9B GRPO-32K,38,0.896484375,0.016297351685352623,0.3210771679878235,0.12952332571148872,6525.0263671875,0.0068359375,,826.5591529384255,490.2050676634535,278.84994623903185,1148.3393192437472
9B GRPO-32K,39,0.9150390625,0.011125369856017642,0.29192325472831726,0.13280977308750153,6307.19140625,0.005859375,,827.7558081056923,494.58325118850917,265.9677967168391,1120.1630854417483
9B GRPO-32K,40,0.875,0.02221651502259192,0.2844495475292206,0.1299720760434866,6499.9443359375,0.0068359375,,1192.5789000550285,773.4668760215864,343.5258294688538,797.131221218265
9B GRPO-32K,41,0.8984375,0.018808938009897247,0.2926395535469055,0.12488744035363197,5874.48046875,0.005859375,,775.9159436067566,466.3991247480735,256.8655079053715,1120.4892838761218
9B GRPO-32K,42,0.890625,0.010849118181795347,0.2744722068309784,0.1288767047226429,6334.826171875,0.0126953125,,791.9555194387212,464.3868894511834,271.5757566578686,1168.8557340392726
9B GRPO-32K,43,0.9052734375,0.018531507059378782,0.2740003168582916,0.12736812978982925,6167.90625,0.001953125,,900.3671952812001,582.7723411535844,263.3457942735404,1011.054161869693
9B GRPO-32K,44,0.869140625,0.01444475751304708,0.2939385771751404,0.11681605875492096,6811.2294921875,0.009765625,,826.5970617281273,486.39229169208556,281.0919203395024,1198.427167075776
9B GRPO-32K,45,0.916015625,0.013934750645603344,0.27258363366127014,0.11326185613870621,6217.794921875,0.005859375,,791.0929637914523,448.0486483676359,258.83348776586354,1154.1307934584174
9B GRPO-32K,46,0.9072265625,0.010820638613949995,0.2636924982070923,0.12766796350479126,5560.7060546875,0.001953125,,745.1156051624566,458.00934776011854,236.2292964057997,1111.9635252027156
9B GRPO-32K,47,0.9033203125,0.01164911666091939,0.2534978985786438,0.1145712723955512,5618.046875,0.0009765625,,733.3686094628647,448.1742926891893,234.71795001532882,1137.3230176989664
9B GRPO-32K,48,0.8818359375,0.01068292493437184,0.24380479753017426,0.15295861661434174,5740.9091796875,0.005859375,,730.8009371999651,438.0788849340752,241.53573714289814,1163.3433014705781
9B GRPO-32K,49,0.8818359375,0.019409085689403582,0.26385223865509033,0.15454060956835747,5261.9482421875,0.005859375,,1416.9587859082967,1130.4859082223848,239.179567608051,557.3432218734343
9B GRPO-32K,50,0.869140625,-0.002164725123293465,0.265124648809433,0.14501857198774815,6168.681640625,0.0048828125,,825.97123272717,482.3001590166241,257.8146921256557,1098.3061080768305
9B GRPO-32K,51,0.9169921875,0.02373370128964325,0.2726200520992279,0.10798487439751625,5575.36328125,0.005859375,,759.8374259863049,468.20870289206505,240.82468245644122,1096.9405710939839
9B GRPO-32K,52,0.9169921875,0.007124665367882699,0.23543204367160797,0.1067403219640255,5958.806640625,0.005859375,,783.1745505267754,480.34796557947993,248.79542389512062,1121.8370788594239
9B GRPO-32K,53,0.8955078125,0.01187133406438079,0.26723337173461914,0.12407595291733742,6233.9296875,0.0068359375,,783.9968202728778,466.0655506076291,262.180527407676,1169.844030337745
9B GRPO-32K,54,0.9091796875,0.019023566714167828,0.2449662834405899,0.1360105760395527,5881.9140625,0.0009765625,,939.8263722416013,641.032512711361,247.40172821562737,928.1427141903605
9B GRPO-32K,55,0.912109375,0.015011286848675809,0.22284258902072906,0.13522600941359997,6054.7880859375,0.0126953125,,1073.1764917597175,721.382111184299,267.50280498340726,827.1788301515988
9B GRPO-32K,56,0.89453125,0.022889026295160875,0.25354498624801636,0.14040972292423248,5886.798828125,0.001953125,,970.3016950748861,659.1793315066025,258.16656959895045,898.89799680571
9B GRPO-32K,57,0.90625,0.00798131025658222,0.24453432857990265,0.12373827956616879,5486.1025390625,0.00390625,,870.7629142208025,583.5296919904649,236.76391449943185,941.3241097130066
9B GRPO-32K,58,0.89453125,0.009241490965450794,0.22962284088134766,0.1253290455788374,6025.8095703125,0.0029296875,,768.9447605526075,462.4791722325608,253.83538037817925,1156.700286716043
9B GRPO-32K,59,0.923828125,0.010474053866346367,0.2433125376701355,0.14734264463186264,5207.7412109375,0.00390625,,1178.1167196668684,896.022850304842,234.4928800771013,665.8362978006212
9B GRPO-32K,60,0.912109375,0.02086331161990529,0.22463035583496094,0.14968272857367992,5155.77734375,0.0078125,,897.8828951893374,596.7350345076993,222.56112293247133,864.7892772656762
9B GRPO-32K,61,0.91015625,0.031433106916665565,0.23402920365333557,0.18697700835764408,4870.29296875,0.0009765625,,930.7328177029267,642.9300486845896,230.0833107791841,795.1922247961717
9B GRPO-32K,62,0.9140625,0.017543900252803724,0.21580709517002106,0.15446753799915314,5251.3837890625,0.0009765625,,692.0613704621792,415.95767988450825,228.66560852713883,1139.757482018145
9B GRPO-32K,63,0.923828125,0.009577677366905846,0.2164653241634369,0.17539783380925655,4485.873046875,0.0009765625,,1226.6919346824288,976.5063595278189,207.46924004890025,562.744997731408
9B GRPO-32K,64,0.8876953125,0.008345188747625798,0.2226477414369583,0.13497109338641167,4523.07421875,0.0009765625,,733.3513742927462,476.3756125755608,202.68053506035358,946.3342189401343
9B GRPO-32K,65,0.9384765625,0.004948301921103848,0.21760982275009155,0.12600802816450596,4597.880859375,0.0029296875,,646.4160720091313,374.11843750439584,198.00975430384278,1088.7163554158328
9B GRPO-32K,66,0.921875,0.0030449040996245458,0.22375431656837463,0.1425179447978735,4815.2568359375,0.0009765625,,664.1689192159101,414.1523323720321,205.71290500741452,1104.5682111503813
9B GRPO-32K,67,0.9189453125,0.0029008453911956167,0.232654869556427,0.12732752785086632,5040.55859375,0.0009765625,,793.8133864682168,524.554965772666,222.62769645825028,959.8320121432048
9B GRPO-32K,68,0.900390625,0.00028098833672629553,0.21835879981517792,0.12862603738904,5449.009765625,0.0009765625,,673.6203550463542,388.07380285393447,236.09342276770622,1213.3188135975456
9B GRPO-32K,69,0.9365234375,0.009460508539632428,0.2104402482509613,0.11491165542975068,5195.34765625,0.0048828125,,1229.1521305991337,944.185220961459,236.22603902220726,638.2240899811306
9B GRPO-32K,70,0.9228515625,0.005472064434798085,0.18467088043689728,0.1177938636392355,4730.3837890625,0.0009765625,,659.6346733290702,379.89899601973593,206.65157875977457,1093.500924321729
9B GRPO-32K,71,0.9375,0.0048712777643231675,0.21274514496326447,0.13652809336781502,5289.9443359375,0.00390625,,784.8165807984769,510.5191905070096,226.1921709580347,1012.5816584958958
9B GRPO-32K,72,0.908203125,0.005900128664507065,0.1982923448085785,0.10291831940412521,5581.58984375,0.0009765625,,919.03426428698,618.7545223264024,250.50012144446373,907.622851958793
9B GRPO-32K,73,0.91015625,0.014159454020955309,0.2017732709646225,0.16175740770995617,4900.5009765625,0.0009765625,,778.8583462797105,518.4692487688735,213.7630977416411,952.8396640349806
9B GRPO-32K,74,0.912109375,0.0023363636355497874,0.2086467742919922,0.16819074004888535,5399.5556640625,0.0009765625,,648.8294879402965,371.8533665519208,227.50792773719877,1243.3376410817993
9B GRPO-32K,75,0.90625,0.006705170879286015,0.20067787170410156,0.14579901657998562,5025.9150390625,0.0009765625,,727.6256700232625,436.1200523832813,214.9527604598552,1045.370107648459
9B GRPO-32K,76,0.9365234375,0.013901361729949713,0.21729566156864166,0.18216568790376186,5400.048828125,0.005859375,,748.3120684884489,468.6048654699698,229.33576834201813,1080.9958626405432
9B GRPO-32K,77,0.90625,0.0012186038584331982,0.20761701464653015,0.20903720147907734,5379.2021484375,0.005859375,,722.5586299197748,446.14599430933595,227.56638246122748,1114.8574546669515
9B GRPO-32K,78,0.888671875,0.0064520135638304055,0.21366767585277557,0.19409390166401863,5569.47265625,0.0029296875,,1364.7161514880136,1068.8167229862884,244.63100963272154,607.9538950977875
9B GRPO-32K,79,0.9130859375,0.009494009199443099,0.2270105630159378,0.21174110658466816,5933.2177734375,0.0107421875,,763.5857696766034,456.38551225699484,253.30042621027678,1146.9633272119831
9B GRPO-32K,80,0.8857421875,0.0059585933850030415,0.23538482189178467,0.30111368745565414,5965.5107421875,0.0078125,,940.4383763261139,586.7100011399016,270.8623088905588,934.5741274760808
9B GRPO-32K,81,0.9365234375,0.005675718566635624,0.22035403549671173,0.2004646509885788,5968.8251953125,0.0009765625,,1737.3934319876134,1429.8313017431647,254.95645339693874,507.79380695062383
9B GRPO-32K,82,0.9345703125,0.013791252211376559,0.2121003121137619,0.130801722407341,5596.9970703125,0.0009765625,,1028.4329840112478,743.3064896315336,235.43449761159718,812.0894973073576
9B GRPO-32K,83,0.88671875,0.018170567718698294,0.2449687421321869,0.1401088498532772,5974.392578125,0.0087890625,,799.8095333008096,484.30355629418045,262.21536753792316,1103.2092182729011
9B GRPO-32K,84,0.93359375,0.011983015147052356,0.2221459299325943,0.1499720048159361,5159.0537109375,0.0009765625,,703.7983705224469,434.3339979322627,222.13866648823023,1100.6147604817374
9B GRPO-32K,85,0.88671875,0.01777936265716562,0.23401619493961334,0.0939511633478105,5702.84765625,0.009765625,,787.9903674181551,462.32014326099306,244.14510454889387,1077.2866460048072
9B GRPO-32K,86,0.8837890625,0.01580904998263577,0.2329820692539215,0.14763275533914566,5491.2978515625,0.01171875,,1084.4794675707817,791.6798467673361,241.3023756397888,755.6603416712572
9B GRPO-32K,87,0.9072265625,0.006741082135704346,0.2301395833492279,0.10246131010353565,5619.6923828125,0.0087890625,,748.0542662860826,458.22454938851297,238.85173035319895,1115.5428992378243
